1,3,70,./img/Art/,33.305
1,5,70,./img/Art/,61.0495
1,7,70,./img/Art/,115.249
1,9,70,./img/Art/,188.682
1,11,70,./img/Art/,279.668
2,3,70,./img/Art/,8.25612
2,5,70,./img/Art/,15.4906
2,7,70,./img/Art/,29.3001
2,9,70,./img/Art/,47.5304
2,11,70,./img/Art/,70.8414
4,3,70,./img/Art/,2.16876
4,5,70,./img/Art/,4.05304
4,7,70,./img/Art/,7.61526
4,9,70,./img/Art/,12.2475
4,11,70,./img/Art/,18.2856
8,3,70,./img/Art/,1.17028
8,5,70,./img/Art/,2.41148
8,7,70,./img/Art/,5.21293
8,9,70,./img/Art/,8.51224
8,11,70,./img/Art/,12.1614
16,3,70,./img/Art/,1.29576
16,5,70,./img/Art/,2.35166
16,7,70,./img/Art/,4.74498
16,9,70,./img/Art/,8.14482
16,11,70,./img/Art/,11.8581
32,3,70,./img/Art/,1.42038
32,5,70,./img/Art/,2.68584
32,7,70,./img/Art/,5.07538
32,9,70,./img/Art/,8.244
32,11,70,./img/Art/,12.3849
1,3,270,./img/Motorcycle/,2222.66
1,5,270,./img/Motorcycle/,4225.96
1,7,270,./img/Motorcycle/,8035.21
1,9,270,./img/Motorcycle/,13257.1
1,11,270,./img/Motorcycle/,19775.3
2,3,270,./img/Motorcycle/,557.757
2,5,270,./img/Motorcycle/,1059.02
2,7,270,./img/Motorcycle/,2012.51
2,9,270,./img/Motorcycle/,3316.24
2,11,270,./img/Motorcycle/,4951.66
4,3,270,./img/Motorcycle/,140.795
4,5,270,./img/Motorcycle/,266.05
4,7,270,./img/Motorcycle/,505.486
4,9,270,./img/Motorcycle/,829.864
4,11,270,./img/Motorcycle/,1239.36
8,3,270,./img/Motorcycle/,71.5769
8,5,270,./img/Motorcycle/,159.267
8,7,270,./img/Motorcycle/,311.964
8,9,270,./img/Motorcycle/,512.676
8,11,270,./img/Motorcycle/,766.314
16,3,270,./img/Motorcycle/,72.0541
16,5,270,./img/Motorcycle/,133.689
16,7,270,./img/Motorcycle/,255.125
16,9,270,./img/Motorcycle/,419.282
16,11,270,./img/Motorcycle/,626.359
32,3,270,./img/Motorcycle/,72.3853
32,5,270,./img/Motorcycle/,135.013
32,7,270,./img/Motorcycle/,256.414
32,9,270,./img/Motorcycle/,421.903
32,11,270,./img/Motorcycle/,629.694
